Year,Month,anom,i_nino,i_nina,el_nino,la_nina
2010,2,1.18,1,0,1,0
2010,3,1.07,1,0,1,0
2010,4,0.56,1,0,1,0
2010,5,-0.15,0,0,0,0
2010,6,-0.62,0,1,0,1
2010,7,-0.89,0,1,0,1
2010,8,-1.33,0,1,0,1
2010,9,-1.56,0,1,0,1
2010,10,-1.65,0,1,0,1
2010,11,-1.57,0,1,0,1
2010,12,-1.63,0,1,0,1
2011,1,-1.7,0,1,0,1
2011,2,-1.26,0,1,0,1
2011,3,-0.98,0,1,0,1
2011,4,-0.74,0,1,0,1
2011,5,-0.53,0,1,0,1
2011,6,-0.25,0,0,0,0
2011,7,-0.23,0,0,0,0
2011,8,-0.66,0,1,0,1
2011,9,-0.76,0,1,0,1
2011,10,-0.93,0,1,0,1
2011,11,-1.09,0,1,0,1
2011,12,-1.05,0,1,0,1
2012,1,-0.93,0,1,0,1
2012,2,-0.61,0,1,0,1
2012,3,-0.48,0,1,0,1
2012,4,-0.29,0,0,0,0
2012,5,-0.18,0,0,0,0
2012,6,0.14,0,0,0,0
2012,7,0.44,1,0,0,0
2012,8,0.66,1,0,0,0
2012,9,0.44,1,0,0,0
2012,10,0.23,0,0,0,0
2012,11,0.33,0,0,0,0
2012,12,-0.13,0,0,0,0
2013,1,-0.42,0,1,0,0
2013,2,-0.4,0,1,0,0
2013,3,-0.14,0,0,0,0
2013,4,-0.08,0,0,0,0
2013,5,-0.28,0,0,0,0
2013,6,-0.33,0,0,0,0
2013,7,-0.28,0,0,0,0
2013,8,-0.29,0,0,0,0
2013,9,-0.09,0,0,0,0
2013,10,-0.24,0,0,0,0
2013,11,-0.02,0,0,0,0
2013,12,-0.09,0,0,0,0
2014,1,-0.42,0,1,0,0
2014,2,-0.45,0,1,0,0
2014,3,-0.07,0,0,0,0
2014,4,0.28,0,0,0,0
2014,5,0.45,1,0,0,0
2014,6,0.48,1,0,0,0
2014,7,0.13,0,0,0,0
2014,8,0.14,0,0,0,0
2014,9,0.37,0,0,0,0
2014,10,0.48,1,0,1,0
2014,11,0.89,1,0,1,0
2014,12,0.77,1,0,1,0
2015,1,0.59,1,0,1,0
2015,2,0.57,1,0,1,0
2015,3,0.48,1,0,1,0
2015,4,0.9,1,0,1,0
2015,5,1.04,1,0,1,0
2015,6,1.28,1,0,1,0
2015,7,1.56,1,0,1,0
2015,8,1.87,1,0,1,0
2015,9,2.01,1,0,1,0
2015,10,2.21,1,0,1,0
2015,11,2.57,1,0,1,0
2015,12,2.56,1,0,1,0
2016,1,2.56,1,0,1,0
2016,2,2.11,1,0,1,0
2016,3,1.6,1,0,1,0
2016,4,1.05,1,0,1,0
2016,5,0.45,1,0,1,0
2016,6,0.06,0,0,0,0
2016,7,-0.25,0,0,0,0
2016,8,-0.48,0,1,0,0
2016,9,-0.46,0,1,0,0
2016,10,-0.75,0,1,0,0
2016,11,-0.63,0,1,0,0
2016,12,-0.51,0,1,0,0
2017,1,-0.34,0,0,0,0
2017,2,-0.01,0,0,0,0
2017,3,-0.09,0,0,0,0
2017,4,0.22,0,0,0,0
2017,5,0.3,0,0,0,0
2017,6,0.22,0,0,0,0
2017,7,0.22,0,0,0,0
2017,8,-0.18,0,0,0,0
2017,9,-0.56,0,1,0,1
2017,10,-0.52,0,1,0,1
2017,11,-0.84,0,1,0,1
2017,12,-0.85,0,1,0,1
2018,1,-0.86,0,1,0,1
2018,2,-0.73,0,1,0,1
2018,3,-0.73,0,1,0,1
2018,4,-0.36,0,0,0,0
2018,5,-0.12,0,0,0,0
2018,6,0.12,0,0,0,0
2018,7,0.27,0,0,0,0
2018,8,0.05,0,0,0,0
2018,9,0.3,0,0,0,0
2018,10,0.84,1,0,1,0
2018,11,1,1,0,1,0
2018,12,0.97,1,0,1,0
2019,1,0.51,1,0,1,0
2019,2,0.62,1,0,1,0
2019,3,0.81,1,0,1,0
2019,4,0.67,1,0,1,0
2019,5,0.61,1,0,1,0
2019,6,0.66,1,0,1,0
2019,7,0.41,1,0,1,0
2019,8,0.19,0,0,0,0
2019,9,0.11,0,0,0,0
2019,10,0.55,1,0,0,0
2019,11,0.74,1,0,0,0
2019,12,0.51,1,0,0,0
2020,1,0.64,1,0,0,0
2020,2,0.48,1,0,0,0
2020,3,0.36,0,0,0,0
2020,4,0.49,1,0,0,0
2020,5,-0.12,0,0,0,0
2020,6,-0.21,0,0,0,0
2020,7,-0.04,0,0,0,0
2020,8,-0.42,0,1,0,1
2020,9,-0.66,0,1,0,1
2020,10,-1.19,0,1,0,1
2020,11,-1.01,0,1,0,1
2020,12,-0.98,0,1,0,1
2021,1,-1.04,0,1,0,1
2021,2,-0.94,0,1,0,1
2021,3,-0.72,0,1,0,1
2021,4,-0.55,0,1,0,1
2021,5,-0.41,0,1,0,1
2021,6,-0.06,0,0,0,0
2021,7,-0.2,0,0,0,0
2021,8,-0.38,0,0,0,0
2021,9,-0.5,0,1,0,1
2021,10,-0.78,0,1,0,1
2021,11,-0.88,0,1,0,1
2021,12,-1.07,0,1,0,1
2022,1,-0.77,0,1,0,1
2022,2,-0.68,0,1,0,1
2022,3,-0.84,0,1,0,1
2022,4,-0.9,0,1,0,1
2022,5,-1.02,0,1,0,1
2022,6,-0.77,0,1,0,1
2022,7,-0.56,0,1,0,1
2022,8,-0.96,0,1,0,1
2022,9,-1.06,0,1,0,1
2022,10,-0.99,0,1,0,1
2022,11,-0.76,0,1,0,1
2022,12,-0.86,0,1,0,1
2023,1,-0.78,0,1,0,1
2023,2,-0.62,0,1,0,1
2023,3,-0.13,0,0,0,0
2023,4,0.24,0,0,0,0
2023,5,0.47,1,0,1,0
2023,6,0.95,1,0,1,0
2023,7,1.2,1,0,1,0
2023,8,1.56,1,0,1,0
2023,9,1.65,1,0,1,0
2023,10,1.59,1,0,1,0
2023,11,2.01,1,0,1,0
2023,12,1.81,1,0,1,0
