Year,Month,resid_sales,resid_count,resid_np,comm_sales,comm_count,comm_np,CPI,County,Population,resid_pc,comm_pc,resid_rp,comm_rp
1999,5,2578183.0,,4.9,1699855.0,,4.61,166.2,State,5757400,0.44780334873380345,0.2952469864869559,2.9482551143200966,2.7737665463297234
1999,6,2218616.0,,4.9,1870383.0,,4.61,166.2,State,5757400,0.38535033174696914,0.3248659116962518,2.9482551143200966,2.7737665463297234
1999,7,1992808.0,,5.0,1771568.0,,4.61,166.7,State,5757400,0.3461298502796401,0.3077027825059923,2.999400119976005,2.765446910617877
1999,8,1962875.0,,5.0,1881292.0,,4.5,167.1,State,5757400,0.34093080209816934,0.3267606905895022,2.9922202274087373,2.6929982046678633
1999,9,1993187.0,,5.0,1921508.0,,4.71,167.9,State,5757400,0.34619567860492584,0.3337457880293188,2.9779630732578917,2.805241215008934
1999,10,2192457.0,,5.1,1862800.0,,5.01,168.2,State,5757400,0.38080678778615346,0.32354882412199953,3.032104637336504,2.9785969084423307
1999,11,2697938.0,,5.2,1874459.0,,5.31,168.3,State,5757400,0.46860353631847707,0.32557387014972033,3.0897207367795603,3.155080213903743
1999,12,3302496.0,,5.3,2069177.0,,5.11,168.3,State,5757400,0.5736089206933686,0.35939434466946885,3.1491384432560903,3.0362448009506835
2000,1,3902716.0,,5.22,2124320.0,,5.07,168.8,State,5803400,0.6724878519488575,0.3660474894027639,3.092417061611374,3.0035545023696684
2000,2,3617050.0,,5.26,2086031.0,,5.15,169.8,State,5803400,0.623263948719716,0.3594498052865562,3.0977620730270905,3.032979976442874
2000,3,3359636.0,,5.23,2031237.0,,5.13,171.2,State,5803400,0.5789082262122204,0.3500080987007616,3.0549065420560755,2.996495327102804
2000,4,2738745.0,,5.16,1854665.0,,4.79,171.3,State,5803400,0.47192077058276183,0.319582486128821,3.0122591943957966,2.7962638645650904
2000,5,2426910.0,,5.08,1845988.0,,4.65,171.5,State,5803400,0.41818761415721817,0.3180873281179998,2.9620991253644315,2.7113702623906706
2000,6,2165901.0,,5.14,1958661.0,,4.62,172.4,State,5803400,0.37321242719784953,0.3375023262225592,2.9814385150812064,2.679814385150812
2000,7,2041629.0,,5.17,1946925.0,,4.62,172.8,State,5803400,0.351798773132991,0.3354800634111038,2.991898148148148,2.673611111111111
2000,8,2073828.0,,5.15,2115964.0,,4.68,172.8,State,5803400,0.3573470724058311,0.3646076437950167,2.980324074074074,2.708333333333333
2000,9,1976376.0,,5.1,1982043.0,,4.89,173.7,State,5803400,0.3405548471585622,0.3415313436950753,2.936096718480138,2.8151986183074262
2000,10,2190941.0,,5.21,2001855.0,,5.06,174.0,State,5803400,0.37752713926319054,0.34494520453527244,2.994252873563218,2.908045977011494
2000,11,2853624.0,,5.13,1938248.0,,5.0,174.1,State,5803400,0.491715890684771,0.3339849054002826,2.9465824238943137,2.871912693854107
2000,12,3688422.0,,4.76,2104637.0,,4.65,174.0,State,5803400,0.6355622566081952,0.3626558569114657,2.7356321839080455,2.6724137931034484
2001,1,3968130.0,,4.95,2215598.0,,4.95,175.1,State,5974910,0.6641321793968444,0.37081696628066363,2.826956025128498,2.826956025128498
2001,2,3560284.0,,5.51,2195186.0,,5.44,175.8,State,5974910,0.5958724064462896,0.3674006805123424,3.13424345847554,3.094425483503982
